session_id,condition,b_value,true_prob,round,action,shares,price_before,price_after,cost,cash_before,cash_after,q_yes_after,q_no_after,client_ms_on_round,timestamp_utc,draw_outcome,final_cash,session_completed,comprehension_attempts,initial_belief_pct,final_belief_pct,risk_tolerance,trading_experience_months,prediction_market_familiarity,field_of_study
PMMY,low,10,0.7,1,buy_yes,3,50.0,57.4,1.61,15.0,13.39,3,0,35374,2026-05-06T19:42:08Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,2,buy_no,2,57.4,52.5,0.9,13.39,12.49,3,2,17175,2026-05-06T19:42:26Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,3,buy_yes,1,52.5,55.0,0.54,12.49,11.95,4,2,11366,2026-05-06T19:42:37Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,4,buy_yes,1,55.0,57.4,0.56,11.95,11.39,5,2,2500,2026-05-06T19:42:39Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,5,buy_yes,1,57.4,59.9,0.59,11.39,10.8,6,2,2166,2026-05-06T19:42:42Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,6,buy_yes,2,59.9,64.6,1.24,10.8,9.56,8,2,1875,2026-05-06T19:42:43Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,7,buy_yes,1,64.6,66.8,0.66,9.56,8.9,9,2,1800,2026-05-06T19:42:45Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,8,buy_yes,1,66.8,69.0,0.68,8.9,8.22,10,2,1284,2026-05-06T19:42:47Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,9,buy_yes,1,69.0,71.1,0.7,8.22,7.52,11,2,2619,2026-05-06T19:42:49Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,10,buy_no,1,71.1,69.0,0.3,7.52,7.22,11,3,2256,2026-05-06T19:42:51Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,11,buy_yes,1,69.0,71.1,0.7,7.22,6.52,12,3,1482,2026-05-06T19:42:53Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,12,buy_no,1,71.1,69.0,0.3,6.52,6.22,12,4,1208,2026-05-06T19:42:54Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,13,buy_yes,1,69.0,71.1,0.7,6.22,5.52,13,4,1923,2026-05-06T19:42:56Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,14,buy_no,1,71.1,69.0,0.3,5.52,5.22,13,5,1203,2026-05-06T19:42:57Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,15,buy_yes,1,69.0,71.1,0.7,5.22,4.52,14,5,1224,2026-05-06T19:42:59Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,16,buy_no,1,71.1,69.0,0.3,4.52,4.22,14,6,1153,2026-05-06T19:43:00Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,17,buy_yes,1,69.0,71.1,0.7,4.22,3.52,15,6,1500,2026-05-06T19:43:01Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,18,buy_no,1,71.1,69.0,0.3,3.52,3.22,15,7,1479,2026-05-06T19:43:03Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,19,buy_yes,1,69.0,71.1,0.7,3.22,2.52,16,7,1540,2026-05-06T19:43:04Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,20,buy_no,1,71.1,69.0,0.3,2.52,2.22,16,8,1365,2026-05-06T19:43:06Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,21,buy_yes,1,69.0,71.1,0.7,2.22,1.52,17,8,1325,2026-05-06T19:43:07Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,22,buy_no,1,71.1,69.0,0.3,1.52,1.22,17,9,4066,2026-05-06T19:43:11Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,23,buy_yes,1,69.0,71.1,0.7,1.22,0.52,18,9,2196,2026-05-06T19:43:13Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,24,buy_no,1,71.1,69.0,0.3,0.52,0.22,18,10,3287,2026-05-06T19:43:17Z,red,18.22,True,1,70,70,2,0,False,Computer Science
PMMY,low,10,0.7,25,pass,0,69.0,69.0,0.0,0.22,0.22,18,10,4741,2026-05-06T19:43:21Z,red,18.22,True,1,70,70,2,0,False,Computer Science
CYDT,low,10,0.7,1,buy_yes,1,50.0,52.5,0.51,15.0,14.49,1,0,8144,2026-05-06T19:55:57Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,2,buy_yes,2,52.5,57.4,1.1,14.49,13.39,3,0,3387,2026-05-06T19:56:01Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,3,buy_yes,3,57.4,64.6,1.83,13.39,11.56,6,0,4756,2026-05-06T19:56:06Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,4,buy_yes,4,64.6,73.1,2.76,11.56,8.8,10,0,3564,2026-05-06T19:56:09Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,5,buy_yes,2,73.1,76.9,1.5,8.8,7.3,12,0,3294,2026-05-06T19:56:12Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,6,buy_yes,5,76.9,84.6,4.05,7.3,3.25,17,0,5303,2026-05-06T19:56:18Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,7,buy_yes,3,84.6,88.1,2.59,3.25,0.66,20,0,9103,2026-05-06T19:56:27Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,8,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,3640,2026-05-06T19:56:31Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,9,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1596,2026-05-06T19:56:32Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,10,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1130,2026-05-06T19:56:33Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,11,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1020,2026-05-06T19:56:34Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,12,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,1086,2026-05-06T19:56:35Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,13,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,873,2026-05-06T19:56:36Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,14,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,847,2026-05-06T19:56:37Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,15,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,788,2026-05-06T19:56:38Z,red,20.66,True,1,70,70,4,0,False,Computer Science
CYDT,low,10,0.7,16,pass,0,88.1,88.1,0.0,0.66,0.66,20,0,804,2026-05-06T19:56:39Z,red,20.66,True,1,70,70,4,0,False,Computer Science
